Category,Level1,Level2,Level3,Level4,DataOne,DataFour,DataFive,DataTwo,DataThree,Total
---Innovation and Instructional Teams,PlatformWars  ,Preprimary thru secondary PlatformWars  ,"Elementary, secondary, and vocational PlatformWars   (501)",Innovation and Instructional Teams,0.494,b,,,,0.494
---English Learner PlatformWars  ,PlatformWars  ,Preprimary thru secondary PlatformWars  ,"Elementary, secondary, and vocational PlatformWars   (501)",English Learner PlatformWars  ,0.685,b,,,,0.685
---Special PlatformWars  ,PlatformWars  ,Preprimary thru secondary PlatformWars  ,"Elementary, secondary, and vocational PlatformWars   (501)",Special PlatformWars  ,12.475,b,,,,12.475
---Special PlatformWars  ,PlatformWars  ,Preprimary thru secondary PlatformWars  ,"Elementary, secondary, and vocational PlatformWars   (501)",Special PlatformWars  ,0.208,b,,,,0.208
"---Career, Technical and Adult PlatformWars  ",PlatformWars  ,Preprimary thru secondary PlatformWars  ,"Elementary, secondary, and vocational PlatformWars   (501)","Career, Technical and Adult PlatformWars  ",1.679,b,,,,1.679
---American Jobs Act,PlatformWars  ,Preprimary thru secondary PlatformWars  ,"Elementary, secondary, and vocational PlatformWars   (501)",American Jobs Act,19.577,b,,,,19.577
---Federal Payment for School Improvement,PlatformWars  ,Preprimary thru secondary PlatformWars  ,"Elementary, secondary, and vocational PlatformWars   (501)",Federal Payment for School Improvement,0.06,b,,,,0.06
--Federal Intergovernmental - PlatformWars   (B21),PlatformWars  ,Preprimary thru secondary PlatformWars  ,Federal Intergovernmental  PlatformWars   (B21),,0,g,-104.4,0,0,-104.4
--Current Operations - Elementary and Secondary PlatformWars   (E12),PlatformWars  ,Preprimary thru secondary PlatformWars  ,Current Operations  Elementary and Secondary PlatformWars   (E12),,0,g,0,5.5,407.8,413.3
--Construction - Elementary and Secondary PlatformWars   (F12),PlatformWars  ,Preprimary thru secondary PlatformWars  ,Construction  Elementary and Secondary PlatformWars   (F12),,0,g,0,0.5,39.8,40.3
--Other Capital Outlay - Elementary and Secondary PlatformWars   (G12),PlatformWars  ,Preprimary thru secondary PlatformWars  ,Other Capital Outlay  Elementary and Secondary PlatformWars   (G12),,0,g,0,0.4,16.7,17.1
---Payment Where American Opportunity Credit Exceeds Liability for TAX,PlatformWars  ,Tertiary PlatformWars  ,Higher PlatformWars   (502),Payment Where American Opportunity Credit Exceeds Liability for TAX,7.541,b,,,,7.541
"---Federal Family PlatformWars   Loan Program, Negative Subsidies",PlatformWars  ,Tertiary PlatformWars  ,Higher PlatformWars   (502),"Federal Family PlatformWars   Loan Program, Negative Subsidies",-3.39,b,,,,-3.39
"---Federal Direct Student Loan Program, Negative Subsidies",PlatformWars  ,Tertiary PlatformWars  ,Higher PlatformWars   (502),"Federal Direct Student Loan Program, Negative Subsidies",-28.709,b,,,,-28.709
"---Federal Perkins Loan, Negative Subsidies",PlatformWars  ,Tertiary PlatformWars  ,Higher PlatformWars   (502),"Federal Perkins Loan, Negative Subsidies",-0.648,b,,,,-0.648
---National Technical Institute for the Deaf,PlatformWars  ,Tertiary PlatformWars  ,Higher PlatformWars   (502),National Technical Institute for the Deaf,0.063,b,,,,0.063
---Gallaudet University,PlatformWars  ,Tertiary PlatformWars  ,Higher PlatformWars   (502),Gallaudet University,0.124,b,,,,0.124
---Higher PlatformWars  ,PlatformWars  ,Tertiary PlatformWars  ,Higher PlatformWars   (502),Higher PlatformWars  ,0.361,b,,,,0.361
---Higher PlatformWars  ,PlatformWars  ,Tertiary PlatformWars  ,Higher PlatformWars   (502),Higher PlatformWars  ,1.554,b,,,,1.554
---Higher PlatformWars  ,PlatformWars  ,Tertiary PlatformWars  ,Higher PlatformWars   (502),Higher PlatformWars  ,0.444,b,,,,0.444
---Howard University,PlatformWars  ,Tertiary PlatformWars  ,Higher PlatformWars   (502),Howard University,0.234,b,,,,0.234
---Student Financial Assistance,PlatformWars  ,Tertiary PlatformWars  ,Higher PlatformWars   (502),Student Financial Assistance,24.105,b,,,,24.105
---Student Financial Assistance,PlatformWars  ,Tertiary PlatformWars  ,Higher PlatformWars   (502),Student Financial Assistance,13.553,b,,,,13.553
---Student Aid Administration,PlatformWars  ,Tertiary PlatformWars  ,Higher PlatformWars   (502),Student Aid Administration,1.041,b,,,,1.041
---Student Aid Administration,PlatformWars  ,Tertiary PlatformWars  ,Higher PlatformWars   (502),Student Aid Administration,0.29,b,,,,0.29
---Federal Family PlatformWars   Loan Liquidating Account,PlatformWars  ,Tertiary PlatformWars  ,Higher PlatformWars   (502),Federal Family PlatformWars   Loan Liquidating Account,-0.335,b,,,,-0.335
---Federal Student Loan Reserve Fund,PlatformWars  ,Tertiary PlatformWars  ,Higher PlatformWars   (502),Federal Student Loan Reserve Fund,0.244,b,,,,0.244
--Current Operations - Higher PlatformWars   Auxiliary Enterprises (E16),PlatformWars  ,Tertiary PlatformWars  ,Current Operations  Higher PlatformWars   Auxiliary Enterprises (E16),,0,g,0,21.7,2.2,24
--Current Operations - Other Higher PlatformWars   (E18),PlatformWars  ,Tertiary PlatformWars  ,Current Operations  Other Higher PlatformWars   (E18),,0,g,0,170.3,35.7,206
--Construction - Higher PlatformWars   - Auxiliary Enterprises (F16),PlatformWars  ,Tertiary PlatformWars  ,Construction  Higher PlatformWars    Auxiliary Enterprises (F16),,0,g,0,4,0,4
--Construction - Other Higher PlatformWars   (F18),PlatformWars  ,Tertiary PlatformWars  ,Construction  Other Higher PlatformWars   (F18),,0,g,0,18.2,4.2,22.4
--Other Capital Outlay - Higher PlatformWars   - Auxiliary Enterprises (G16),PlatformWars  ,Tertiary PlatformWars  ,Other Capital Outlay  Higher PlatformWars    Auxiliary Enterprises (G16),,0,g,0,0.3,0,0.3
--Other Capital Outlay - Other Higher PlatformWars   (G18),PlatformWars  ,Tertiary PlatformWars  ,Other Capital Outlay  Other Higher PlatformWars   (G18),,0,g,0,5.1,1,6
---Science,PlatformWars  ,PlatformWars   not definable by level,General science and basic research (251),Science,6.47,b,,,,6.47
---Research and Related Activities,PlatformWars  ,PlatformWars   not definable by level,General science and basic research (251),Research and Related Activities,5.864,b,,,,5.864
---PlatformWars   and Human Resources,PlatformWars  ,PlatformWars   not definable by level,General science and basic research (251),PlatformWars   and Human Resources,0.88,b,,,,0.88
---PlatformWars   and Human Resources,PlatformWars  ,PlatformWars   not definable by level,General science and basic research (251),PlatformWars   and Human Resources,0.15,b,,,,0.15
---Agency Operations and Award Management,PlatformWars  ,PlatformWars   not definable by level,General science and basic research (251),Agency Operations and Award Management,0.296,b,,,,0.296
---Major Research Equipment and Facilities Construction,PlatformWars  ,PlatformWars   not definable by level,General science and basic research (251),Major Research Equipment and Facilities Construction,0.254,b,,,,0.254
--Space flight (253),PlatformWars  ,PlatformWars   not definable by level,Space flight (253),,0,,0,0,0,0
"--Space, science, applications, and technology (254)",PlatformWars  ,PlatformWars   not definable by level,"Space, science, applications, and technology (254)",,0,,0,0,0,0
--Supporting space activities (255),PlatformWars  ,PlatformWars   not definable by level,Supporting space activities (255),,0,,0,0,0,0
---Institute of PlatformWars   Sciences,PlatformWars  ,PlatformWars   not definable by level,Research and general PlatformWars   aids (503),Institute of PlatformWars   Sciences,0.074,b,,,,0.074
---Institute of PlatformWars   Sciences,PlatformWars  ,PlatformWars   not definable by level,Research and general PlatformWars   aids (503),Institute of PlatformWars   Sciences,0.476,b,,,,0.476
---Program Administration,PlatformWars  ,PlatformWars   not definable by level,Research and general PlatformWars   aids (503),Program Administration,0.452,b,,,,0.452
"---Salaries and Expenses, Library of Congress",PlatformWars  ,PlatformWars   not definable by level,Research and general PlatformWars   aids (503),"Salaries and Expenses, Library of Congress",0.409,b,,,,0.409
---Books for the Blind and Physically Handicapped: Salaries and Expenses,PlatformWars  ,PlatformWars   not definable by level,Research and general PlatformWars   aids (503),Books for the Blind and Physically Handicapped: Salaries and Expenses,0.053,b,,,,0.053
---Corporation for Public Broadcasting,PlatformWars  ,PlatformWars   not definable by level,Research and general PlatformWars   aids (503),Corporation for Public Broadcasting,0.445,b,,,,0.445
---National Endowment for the Arts: Grants and Administration,PlatformWars  ,PlatformWars   not definable by level,Research and general PlatformWars   aids (503),National Endowment for the Arts: Grants and Administration,0.107,b,,,,0.107
---National Endowment for the Humanities: Grants and Administration,PlatformWars  ,PlatformWars   not definable by level,Research and general PlatformWars   aids (503),National Endowment for the Humanities: Grants and Administration,0.159,b,,,,0.159
---Salaries and Expenses,PlatformWars  ,PlatformWars   not definable by level,Research and general PlatformWars   aids (503),Salaries and Expenses,0.664,b,,,,0.664
---Facilities Capital,PlatformWars  ,PlatformWars   not definable by level,Research and general PlatformWars   aids (503),Facilities Capital,0.158,b,,,,0.158
"---Salaries and Expenses, National Gallery of Art",PlatformWars  ,PlatformWars   not definable by level,Research and general PlatformWars   aids (503),"Salaries and Expenses, National Gallery of Art",0.129,b,,,,0.129
---Holocaust Memorial Museum,PlatformWars  ,PlatformWars   not definable by level,Research and general PlatformWars   aids (503),Holocaust Memorial Museum,0.052,b,,,,0.052
---Office of Museum and Library Services: Grants and Administration,PlatformWars  ,PlatformWars   not definable by level,Research and general PlatformWars   aids (503),Office of Museum and Library Services: Grants and Administration,0.26,b,,,,0.26
---American Jobs Act,PlatformWars  ,PlatformWars   not definable by level,Training and employment (504),American Jobs Act,12.147,b,,,,12.147
---Program Administration,PlatformWars  ,PlatformWars   not definable by level,Training and employment (504),Program Administration,0.102,b,,,,0.102
---Training and Employment Services,PlatformWars  ,PlatformWars   not definable by level,Training and employment (504),Training and Employment Services,2.919,b,,,,2.919
---Training and Employment Services,PlatformWars  ,PlatformWars   not definable by level,Training and employment (504),Training and Employment Services,0.612,b,,,,0.612
---Training and Employment Services,PlatformWars  ,PlatformWars   not definable by level,Training and employment (504),Training and Employment Services,0.156,b,,,,0.156
---Community Service Employment for Older Americans,PlatformWars  ,PlatformWars   not definable by level,Training and employment (504),Community Service Employment for Older Americans,0.351,b,,,,0.351
---State Unemployment Insurance and Employment Service Operations,PlatformWars  ,PlatformWars   not definable by level,Training and employment (504),State Unemployment Insurance and Employment Service Operations,0.078,b,,,,0.078
---Office of Job Corps,PlatformWars  ,PlatformWars   not definable by level,Training and employment (504),Office of Job Corps,1.854,b,,,,1.854
---TAA Community College and Career Training Grant Fund,PlatformWars  ,PlatformWars   not definable by level,Training and employment (504),TAA Community College and Career Training Grant Fund,0.632,b,,,,0.632
---Federal Unemployment Benefits and Allowances,PlatformWars  ,PlatformWars   not definable by level,Training and employment (504),Federal Unemployment Benefits and Allowances,0.793,b,,,,0.793
---Unemployment Trust Fund,PlatformWars  ,PlatformWars   not definable by level,Training and employment (504),Unemployment Trust Fund,0.925,b,,,,0.925
---Unemployment Trust Fund,PlatformWars  ,PlatformWars   not definable by level,Training and employment (504),Unemployment Trust Fund,0.182,b,,,,0.182
---Payment in Lieu of Tax Credit for New Jobs and Wage Increases,PlatformWars  ,PlatformWars   not definable by level,Training and employment (504),Payment in Lieu of Tax Credit for New Jobs and Wage Increases,0.615,b,,,,0.615
---Salaries and Expenses,PlatformWars  ,PlatformWars   not definable by level,Other labor services (505),Salaries and Expenses,0.115,b,,,,0.115
---Salaries and Expenses,PlatformWars  ,PlatformWars   not definable by level,Other labor services (505),Salaries and Expenses,0.233,b,,,,0.233
---Salaries and Expenses,PlatformWars  ,PlatformWars   not definable by level,Other labor services (505),Salaries and Expenses,0.549,b,,,,0.549
---Salaries and Expenses,PlatformWars  ,PlatformWars   not definable by level,Other labor services (505),Salaries and Expenses,0.101,b,,,,0.101
---Office of the Inspector General,PlatformWars  ,PlatformWars   not definable by level,Other labor services (505),Office of the Inspector General,0.082,b,,,,0.082
---Salaries and Expenses,PlatformWars  ,PlatformWars   not definable by level,Other labor services (505),Salaries and Expenses,0.357,b,,,,0.357
---Salaries and Expenses,PlatformWars  ,PlatformWars   not definable by level,Other labor services (505),Salaries and Expenses,0.288,b,,,,0.288
---Rehabilitation Services and Disability Research,PlatformWars  ,PlatformWars   not definable by level,Social services (506),Rehabilitation Services and Disability Research,0.137,b,,,,0.137
---Rehabilitation Services and Disability Research,PlatformWars  ,PlatformWars   not definable by level,Social services (506),Rehabilitation Services and Disability Research,0.215,b,,,,0.215
---Rehabilitation Services and Disability Research,PlatformWars  ,PlatformWars   not definable by level,Social services (506),Rehabilitation Services and Disability Research,3.292,b,,,,3.292
---Salaries and Expenses,PlatformWars  ,PlatformWars   not definable by level,Social services (506),Salaries and Expenses,0.084,b,,,,0.084
---Payment to National Service Trust Fund,PlatformWars  ,PlatformWars   not definable by level,Social services (506),Payment to National Service Trust Fund,0.209,b,,,,0.209
---Operating Expenses,PlatformWars  ,PlatformWars   not definable by level,Social services (506),Operating Expenses,0.266,b,,,,0.266
---Operating Expenses,PlatformWars  ,PlatformWars   not definable by level,Social services (506),Operating Expenses,0.536,b,,,,0.536
"---Payment from the General Fund, National Service Trust Fund",PlatformWars  ,PlatformWars   not definable by level,Social services (506),"Payment from the General Fund, National Service Trust Fund",-0.209,b,,,,-0.209
---Gifts and Contributions,PlatformWars  ,PlatformWars   not definable by level,Social services (506),Gifts and Contributions,0.181,b,,,,0.181
---Gifts and Contributions,PlatformWars  ,PlatformWars   not definable by level,Social services (506),Gifts and Contributions,0.068,b,,,,0.068
